NAME,RANKING,DIVISION,HEIGHT,WEIGHT,WIN,LOSE,DRAW,OVERALL,STRIKING,GRAPPLING,STAMINA,FIGHTIQ
Jon Jones,1,Heavy,193,112,27,1,0,10,9,9,10,10
Ciryl Gane,2,Heavy,193,115,11,2,0,9,10,3,8,9
Sergei Pavlovich,3,Heavy,190,116,18,1,0,9,9,8,8,9
Stipe Miocic,4,Heavy,195,106,20,4,0,9,9,8,10,9
Curtis Blaydes,5,Heavy,193,119,17,4,0,9,7,10,9,8
Tom Aspinall,6,Heavy,195,113,12,3,0,9,9,9,9,9
Tai Tuivasa,7,Heavy,187,120,15,5,0,8,9,5,8,8
Alexander Volkov,8,Heavy,200,117,36,10,0,8,9,8,8,8
Serghei Spivac,9,Heavy,190,115,16,3,0,7,4,9,7,7
Jairzinho Rozenstruik,10,Heavy,187,118,13,4,0,7,10,3,9,8
Jamahal Hill,1,LightHeavy,193,92,12,1,0,9,10,8,9,9
Jiří Procházka,2,LightHeavy,190,92,29,3,1,9,10,8,8,9
Magomed Ankalaev,3,LightHeavy,190,92,18,1,1,9,8,9,9,9
Jan Błachowicz,4,LightHeavy,187,92,29,9,1,9,9,8,9,9
Aleksandar Rakić,5,LightHeavy,193,93,14,3,0,9,9,7,8,8
Anthony Smith,6,LightHeavy,193,93,36,17,0,8,8,8,8,8
Nikita Krylov,7,LightHeavy,190,96,30,9,0,8,7,8,7,8
Johnny Walker,8,LightHeavy,198,93,20,7,0,7,8,6,6,6
Volkan Oezdemir,9,LightHeavy,187,93,18,7,0,7,8,7,7,7
Paul Craig,10,LightHeavy,191,93,16,6,1,7,5,8,6,6
Israel Adesanya,1,Middle,193,83,24,2,0,10,10,6,9,10
Alex Pereira,2,Middle,193,84,7,2,0,8,10,3,9,9
Robert Whittaker,3,Middle,182,84,25,6,0,9,9,8,10,9
Marvin Vettori,4,Middle,182,93,19,6,1,9,7,9,10,8
Jared Cannonier,5,Middle,180,84,16,6,0,9,8,7,9,9
Paulo Costa,6,Middle,185,84,14,2,0,8,9,6,9,9
Dricus Du Plessis,7,Middle,185,92,19,2,0,8,8,8,8,8
Sean Strickland,8,Middle,185,92,26,5,0,8,9,6,8,8
Derek Brunson,9,Middle,185,92,23,9,0,7,6,8,6,7
Roman Dolidze,10,Middle,187,94,12,2,0,7,7,7,7,7
Leon Edwards,1,Welter,182,87,21,3,0,10,10,8,9,10
Kamaru Usman,2,Welter,182,77,20,3,0,9,9,9,10,9
Colby Covington,3,Welter,180,77,17,3,0,9,8,10,10,9
Khamzat Chimaev,4,Welter,187,81,12,0,0,9,7,10,8,9
Belal Muhammad,5,Welter,180,77,22,3,0,9,8,8,10,9
Gilbert Burns,6,Welter,177,83,22,5,0,9,7,10,9,9
"	Shavkat Rakhmonov",7,Welter,185,84,17,0,0,9,8,9,9,9
Stephen Thompson,8,Welter,182,77,17,6,1,8,10,4,9,9
Geoff Neal,9,Welter,180,86,15,5,0,7,9,6,8,8
Sean Brady,10,Welter,177,77,15,1,0,7,7,7,8,7
Islam Makhachev,1,Light,177,70,24,1,0,10,9,10,10,10
Charles Oliveira,2,Light,177,71,33,9,0,10,9,10,9,9
Dustin Poirier,3,Light,175,70,29,7,0,9,9,8,9,9
Justin Gaethje,4,Light,180,80,25,4,0,9,9,7,9,9
Beneil Dariush,5,Light,177,70,22,4,1,9,8,9,8,9
Michael Chandler,6,Light,172,70,23,8,0,8,8,9,7,6
Rafael Fiziev,7,Light,172,70,12,2,0,8,10,7,8,8
Mateusz Gamrot,8,Light,177,77,22,2,0,8,7,8,8,8
Arman Tsarukyan,9,Light,170,70,19,3,0,7,7,7,6,6
Rafael Dos Anjos,10,Light,172,77,32,14,0,7,8,9,9,8
Alexander Volkanovski,1,Feather,167,70,25,2,0,10,10,9,10,10
Yair Rodriguez,2,Feather,180,66,16,3,0,10,10,5,10,10
Max Holloway,3,Feather,180,73,24,7,0,10,10,8,10,10
Brian Ortega,4,Feather,172,66,15,3,0,9,8,9,10,8
Arnold Allen,5,Feather,172,73,19,2,0,9,9,8,8,8
Josh Emmett,6,Feather,168,65,18,3,0,9,9,8,7,8
Calvin Katter,7,Feather,180,66,23,7,0,9,9,7,9,8
Chan Sung Jung,8,Feather,170,65,17,7,0,8,9,8,9,8
Giga Chikadze,9,Feather,182,66,14,3,0,8,9,7,7,8
Ilia Topuria,10,Feather,170,66,13,0,0,8,8,7,8,8
Aljamain Sterling,1,Bantam,170,61,22,3,0,10,9,10,10,9
Merab Dvalishvili,2,Bantam,167,60,16,4,0,9,8,10,10,9
Sean Omalley,3,Bantam,180,61,16,1,0,9,10,6,9,9
Cory Sandhagen,4,Bantam,180,61,16,4,0,9,9,7,10,9
Petr Yan,5,Bantam,171,62,16,5,0,9,9,7,9,8
Marlon Vera,6,Bantam,172,67,20,8,1,9,9,8,9,9
Rob Font,7,Bantam,172,67,20,6,0,8,9,7,8,8
Song Yadong,8,Bantam,172,66,19,7,1,8,9,7,8,7
Dominick Cruz,9,Bantam,172,61,24,4,0,7,9,7,7,8
Pedro Munhoz,10,Bantam,167,67,20,7,0,7,7,7,8,6
Brandon Moreno,1,Fly,170,56,21,6,2,10,10,8,10,9
Deiveson Figueiredo,2,Fly,165,56,21,3,1,10,9,8,9,9
Alexandre Pantoja,3,Fly,165,56,25,5,0,9,9,7,8,7
Kai Kara-France,4,Fly,162,56,24,10,0,8,8,7,8,6
Brandon Royval,5,Fly,175,64,15,6,0,8,7,7,8,8
Matheus Nicolau,6,Fly,167,65,19,4,1,7,7,6,6,7
Alex Perez,7,Fly,167,62,24,7,0,7,3,8,6,6
Amir Albazi,8,Fly,165,56,16,1,0,6,5,7,5,6
Matt Schnell,9,Fly,172,57,16,7,0,6,7,3,6,6
Manel Kape,10,Fly,165,64,18,6,0,6,5,6,10,7
Amanda Nunes,1,WomenBantam,172,61,22,5,0,10,10,8,9,9
Julianna Pena,2,WomenBantam,167,60,12,5,0,9,8,8,8,8
Raquel Pennington,3,WomenBantam,170,61,15,9,0,9,8,7,8,7
Holly Holm,4,WomenBantam,172,64,15,6,0,9,9,5,10,9
Ketlen Vieiria,5,WomenBantam,172,61,13,3,0,8,7,7,8,7
Irene Aldana,6,WomenBantam,175,62,14,6,0,8,10,4,7,6
Yana Santos,7,WomenBantam,167,66,14,7,0,8,8,5,6,6
Pannie Kianzad,8,WomenBantam,170,61,17,6,0,7,6,2,8,6
Macy Chiasson,9,WomenBantam,180,63,9,3,0,5,2,8,6,4
Karol Rosa,10,WomenBantam,165,70,16,5,0,5,7,3,8,4
Zhang Weili,1,WomenStraw,162,52,23,3,0,10,9,8,10,9
Carla Esparza,2,WomenStraw,154,52,20,7,0,9,5,10,8,9
Rose Namajunas,3,WomenStraw,165,52,12,5,0,9,9,8,9,9
Amanda Lemos,4,WomenStraw,162,51,13,2,1,9,9,6,8,9
Jessica Andrade,5,WomenStraw,156,59,24,10,0,9,8,9,9,8
Marina Rodriguez,6,WomenStraw,167,52,16,2,2,8,4,8,2,6
Xiaonan Yan,7,WomenStraw,165,52,16,3,0,8,9,6,7,7
Mackenzie Dern,8,WomenStraw,162,52,12,3,0,8,4,10,5,9
Tecia Torres,9,WomenStraw,154,52,13,6,0,7,7,7,7,7
Virna Jandiroba,10,WomenStraw,160,52,18,3,0,7,7,3,9,3
